날짜,거래회전율,환율
2022-04-20,0.190381968,0.441833333
2022-04-21,0.147969718,0.438166667
2022-04-22,0.134377151,0.439333333
2022-04-25,0.157002753,0.4305
2022-04-26,0.196145905,0.4215
2022-04-27,0.28458362,0.4195
2022-04-28,0.301789401,0.394833333
2022-04-29,0.341878871,0.384333333
2022-05-02,0.105815554,0.391
2022-05-03,0.122849277,0.390333333
2022-05-04,0.053682037,0.3905
2022-05-06,0.159841707,0.397
2022-05-09,0.083448039,0.378833333
2022-05-10,0.248709566,0.375666667
2022-05-11,0.142549897,0.374166667
2022-05-12,0.26256022,0.371666667
2022-05-13,0.210598761,0.356
2022-05-16,0.104439092,0.356666667
2022-05-17,0.131796284,0.364
2022-05-18,0.1839298,0.371333333
2022-05-19,0.238041982,0.3845
2022-05-20,0.115106676,0.375666667
2022-05-23,0.102890571,0.384166667
2022-05-24,0.182209222,0.387166667
2022-05-25,0.156658637,0.392833333
2022-05-26,0.215244322,0.3945
2022-05-27,0.07940468,0.389333333
2022-05-30,0.104267034,0.405166667
2022-05-31,0.439607708,0.423666667
2022-06-02,0.199242946,0.436
2022-06-03,0.0,0.414666667
2022-06-07,0.235203028,0.4315
2022-06-08,0.103492774,0.404833333
2022-06-09,0.343771507,0.407666667
2022-06-10,0.256366139,0.404
2022-06-13,0.314263593,0.39
2022-06-14,0.330437027,0.356666667
2022-06-15,0.334566414,0.3505
2022-06-16,0.299466621,0.347833333
2022-06-17,0.414573297,0.359833333
2022-06-20,0.364504474,0.354166667
2022-06-21,0.261183758,0.347166667
2022-06-22,0.315295939,0.349
2022-06-23,0.385323469,0.3405
2022-06-24,0.288971094,0.332166667
2022-06-27,0.22642808,0.334333333
2022-06-28,0.139194769,0.357333333
2022-06-29,0.215932553,0.3585
2022-06-30,0.282518926,0.345166667
